title,author,advisor,year,university,state,pages,subfield,is_sensitive,keywords_raw
"Towards Reaching Sustainable Urban Development in the Kathmandu Valley of Nepal: An Economic Analysis of Solid Waste Management, Recycling, and the Health Impacts of Air Pollution","Karki, Menuka","Bohara, Alok K.; Thacher, Jennifer A.",2015,The University of New Mexico,New Mexico,226,Economic Theory,FALSE,Social sciences; Choice experiment; Kathmandu nepal; Outdoor air pollution; Recycling; Solid waste management; Willingness to pay; Environmental economics; Economic theory; Economics; 0511:Economic theory; 0501:Economics; 0438:Environmental economics
Worker and Firm Responses to Environmental Policies,"Gibson, Matthew","Cullen, Julie B.; Jacobsen, Mark R.",2015,"University of California, San Diego",California,188,Public policy,FALSE,Social sciences; Clean air act; Congestion pricing; Pollution; Road pricing; Sleep; Wages; Public policy; Environmental economics; Economics; 0630:Public policy; 0501:Economics; 0438:Environmental economics
"Electricity markets: Price risk, policies, and pollution","Werner, Daniel Patrick","Houde, Sebastien",2015,"University of Maryland, College Park",Maryland,146,Agricultural Economics,FALSE,Social sciences; Economics; Electricity; Markets; Price volatiltiy; Renewable portfolio standards; Risk; Commerce-Business; Finance; Environmental economics; Economic theory; Agricultural economics; Business to business commerce; 0503:Agricultural economics; 0511:Economic theory; 0505:Commerce-Business; 0438:Environmental economics; 0508:Finance
Fade in: Exploring the effects of technological change on consumers and firm revenues in home entertainment markets for film,"Axarlian, Gabriel Pablo","Singh, Nirvikar",2015,"University of California, Santa Cruz",California,135,Economic Theory,FALSE,Social sciences; Applied economics; Discrete choice model; Economics; Home entertainment industry; Media economics; Microeconomics; Commerce-Business; Marketing; Economic theory; Business to business commerce; 0511:Economic theory; 0505:Commerce-Business; 0338:Marketing
Estimating the Environmental Benefits of Gasoline Taxes and the Market Benefits of Hybrid Vehicles,"Langford, Richard Peter","Berry, Steven T.",2015,Yale University,Connecticut,70,Economics,FALSE,Social sciences; Carbon Emissions; Energy Regulation; Gasoline; Hybrid; Vehicle Choice; Vehicle Usage; Environmental economics; Economics; 0501:Economics; 0438:Environmental economics
Essays in Crime and Behavior,"Porter, Andrew Joseph","Bitler, Marianne",2015,"University of California, Irvine",California,168,Criminology,FALSE,Social sciences; Behavioral economics; Labor economics; Law and economics; Public economics; Criminology; Economics; 0627:Criminology; 0501:Economics
Three essays in applied microeconomics,"Steiner, Christopher Paul","Carson, Richard T.",2015,"University of California, San Diego",California,179,Economics,FALSE,Social sciences; Acetaldehyde pollution; Commercial passenger fishing vessels; Fisheries; Higher education; Willingness to pay; Environmental economics; Economics; 0501:Economics; 0438:Environmental economics
Experimental Evidence of Behavioral Responses to Uncertainty,"Brownback, Andrew Paul","Andreoni, James R.",2015,"University of California, San Diego",California,170,Economics,FALSE,Social sciences; Auctions; Behavioral economics; Contests; Education; Experimental economics; Self-deception; Economics; 0501:Economics
Essays on macro and monetary economics,"Han, Han","Wright, Randall",2015,The University of Wisconsin - Madison,Wisconsin,49,Economics,FALSE,Social sciences; Macroeconomics; Monetary economics; Quantitative easing; Finance; Economics; 0501:Economics; 0508:Finance
Three essays on racial wage differentials in South Africa,"Pupwe, Ochas Kashinge","Huang, Wei-Chiao",2015,Western Michigan University,Michigan,125,Demography,TRUE,Social sciences; Discrimination; South africa; Stochastic; Wage gaps; Ethnic studies; Demography; Economic theory; Economics; South African studies; 0938:Demography; 0511:Economic theory; 0510:Labor economics; 0501:Economics; 0654:South African Studies; 0631:Ethnic studies
Three essays on panel data estimation,"Houser, Alexander","Mukherjee, Debasri",2015,Western Michigan University,Michigan,68,Economic Theory,FALSE,Social sciences; Econometrics; Panel data; Partially-linear-model; Labor economics; Economic theory; Economics; 0511:Economic theory; 0510:Labor economics; 0501:Economics
"Three essays on labor markets, regulations and immigration in developing economies","Mossaad, Nadwa","Gindling, Tim",2015,"University of Maryland, Baltimore County",Maryland,217,Public policy,FALSE,Social sciences; Circular migration; Impact evaluation; Non-compliance; Regression discontinuity; Regulations; Self-employment earnings differentials; Public policy; Labor economics; Economics; 0630:Public policy; 0510:Labor economics; 0501:Economics
Polycentric Governance: A Theoretical and Empirical Exploration,"Tarko, Vlad","Boettke, Peter J.",2015,George Mason University,Virginia,142,Economics,FALSE,Social sciences; Corporate social responsibility; Economics of science; Federalism; Institutional economics; Management; Political science; Economics; 0501:Economics; 0615:Political science
Advancing an integrated food energy system (IFES) in Haiti: Applying resiliency and sustainability models in ecologically degraded environments,"Beckford, Fitzroy Barrington","Parajuli, Pramod",2015,Prescott College,Arizona,318,Environmental Justice,TRUE,Social sciences; Applied sciences; Earth sciences; Anthroposols; Biochar; Cumulative causation; Haitiism; Political ecology; Restorative anthropedogenesis; Biogeochemistry; Systems science; Environmental justice; Ecological economics; Poverty; Environmental degradation; Charcoal; Soil horizons; Biogeochemical cycles; Ecosystem services; Literature reviews; Global economy; Mixed methods research; Economics; 0619:Environmental Justice; 0790:Systems science; 0425:Biogeochemistry
"Mexican migration to the United States, 1920 to 1965: Guest workers, selection, and economic development in Mexico","Kosack, Edward L.","Carlos, Ann; Cadena, Brian",2015,University of Colorado at Boulder,Colorado,147,Latin American history,FALSE,Social sciences; Development; Guest workers; Human capital; Mexico; Migration; Selection; Latin American history; Economics; Economic history; 0336:Latin American history; 0510:Labor economics; 0509:Economic history
Three essays in applied economics,"Smith, Austin C.","Cadena, Brian; Hughes, Jonathan",2015,University of Colorado at Boulder,Colorado,114,Economic Theory,FALSE,Social sciences; Applied economics; Incentives for workers; Policy evaluation; Labor economics; Economic theory; 0511:Economic theory; 0510:Labor economics
Two essays of other-regarding preferences' influence on social decision making,"Jang, Dooseok","Stegeman, Mark",2015,The University of Arizona,Arizona,116,Economic Theory,TRUE,Social sciences; Bahavioral economics; Distribution; Inequality aversion; Negotiation; Participation game; Reciprocity; Labor economics; Economic theory; Economics; 0511:Economic theory; 0510:Labor economics; 0501:Economics
Essays on Intergenerational Transfers,"Fahle, Sean Patrick","McGarry, Kathleen M.",2015,"University of California, Los Angeles",California,173,Health care management,FALSE,Social sciences; Health and environmental sciences; Bequests; Intergenerational transfers; Long-term care; Public policy; Health care management; Labor economics; Economics; 0769:Health care management; 0630:Public policy; 0510:Labor economics; 0501:Economics
Essays in Growth and Development,"Sinha, Rishabh","Herrendorf, Berthold; Schoellman, Todd",2015,Arizona State University,Arizona,167,Labor Economics,TRUE,Social sciences; Caste-based discrimination; Financial frictions; Intergenerational mobility; Labor productivity; Misallocation of talent; Occupational mobility; Labor economics; Economics; 0510:Labor economics; 0501:Economics
Governing Uncertainty Financial Policies for Risk,"Teh, Tse-Ling","Heal, Geoffrey",2015,Columbia University,New York,194,Economic Theory,FALSE,Social sciences; Indices; Insurance; Natural disasters; Rare risks; Uncertainty; Welfare; Environmental economics; Economic theory; Economics; 0511:Economic theory; 0501:Economics; 0438:Environmental economics
Dynamic Models of Human Capital Investment,"Ashworth, Jared","Hotz, V. Joseph",2015,Duke University,North Carolina,146,Labor Economics,FALSE,Social sciences; Dynamic; Human capital; Occupational search; Structural; Labor economics; Economics; 0510:Labor economics; 0501:Economics
Essays in applied microeconomics,"Sandor, Laszlo","Chetty, Raj",2015,Harvard University,Massachusetts,144,Economics,FALSE,Social sciences; Intertemporal choice; Labor economics; Prosocial behavior; Public economics; Unemployment insurance; Economics; 0501:Economics
Dynamic Models of Human Capital Accumulation,"Ransom, Tyler","Arcidiacono, Peter",2015,Duke University,North Carolina,233,Labor Economics,FALSE,Social sciences; Bayesian learning; Dynamic discrete choice; Human capital; Labor economics; Migration; Urban economics; Economics; 0510:Labor economics; 0501:Economics
"Institutional and Regulatory Economics of Electricity Market Reforms: the Evidence from India, Pakistan, Bangladesh, Nepal, and Sri Lanka","Singh, Bipulendu","Brock, Gerald",2015,The George Washington University,District of Columbia,319,Economics,FALSE,Social sciences; Applied sciences; Electricity market reforms; Energy economics; New institutional economics; Privatization; Regulation; South asia; Energy; South Asian studies; Economics; 0501:Economics; 0791:Energy; 0638:South Asian Studies
"Essays on Agricultural Production, Risk, and Productivity","Rao, Xudong","Pardey, Philip G.; Hurley, Terrance M.",2015,University of Minnesota,Minnesota,158,Agricultural Economics,FALSE,Social sciences; Agricultural production; Efficiency and productivity; Food and agricultural policy; International development; Risk and uncertainty; Agricultural economics; Economics; 0503:Agricultural economics; 0501:Economics
"Three essays on household inequality, bargaining and child custody","Nguyen, Dung Kieu","Marschke, Gerald",2015,State University of New York at Albany,New York,176,Labor Economics,TRUE,Social sciences; Child custody; Household bargaining; Household inequality; Labor economics; Economics; 0510:Labor economics; 0501:Economics
